il,toplam_nufus,nufus_yogunlugu
Adana,2283609,170
Adıyaman,617821,83
Afyonkarahisar,751808,55
Ağrı,491489,44
Amasya,342242,61
Ankara,5910320,238
Antalya,2777677,135
Artvin,167531,23
Aydın,1172107,146
Balıkesir,1284517,91
Bilecik,228995,54
Bingöl,282299,35
Bitlis,360423,55
Bolu,327173,40
Burdur,277226,40
Bursa,3263011,314
Çanakkale,573976,58
Çankırı,200549,26
Çorum,519590,42
Denizli,1060975,88
Diyarbakır,1852356,124
Edirne,422438,69
Elazığ,605678,69
Erzincan,239625,21
Erzurum,736877,29
Eskişehir,927956,66
Gaziantep,2222415,329
Giresun,455074,65
Gümüşhane,138807,21
Hakkari,279681,39
Hatay,1577531,284
Isparta,445303,55
İstanbul,15754053,2943
İzmir,4504185,376
Kars,268991,26
Kastamonu,379934,29
Kayseri,1458991,85
Kırklareli,379595,59
Kırşehir,242777,38
Kocaeli,2161171,633
Konya,2343409,59
Kütahya,570478,49
Malatya,755854,63
Manisa,1477756,111
Kahramanmaraş,1146278,81
Mardin,903576,103
Mersin,1956428,122
Muğla,1099547,89
Muş,389127,45
Nevşehir,320150,58
Niğde,374492,52
Ordu,768087,130
Rize,346947,88
Sakarya,1123693,234
Samsun,1392403,146
Siirt,332369,59
Sinop,225848,40
Sivas,631401,22
Şanlıurfa,2265800,118
Tekirdağ,1208441,194
Tokat,614141,61
Trabzon,823323,176
Tunceli,85083,11
Uşak,374405,67
Van,1112013,60
Yozgat,413208,31
Zonguldak,585203,173
Aksaray,441136,61
Bayburt,82836,22
Karaman,262355,30
Kırıkkale,282830,60
Batman,662626,148
Şırnak,573666,80
Bartın,206663,91
Ardahan,90392,19
Iğdır,205071,57
Yalova,311635,395
Karabük,249614,62
Kilis,157363,112
Osmaniye,564123,170
Düzce,415622,168
